Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs (000 US$),"Reconstruction Costs, Adjusted (000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages (000 US$),"Total Damages, Adjusted (000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2021-0784-USA,2021,0784,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,"Big Island, Maui, Molokai, Oahu Island (Hawai)",Heavy rains and strong winds,Storm,,,,Yes,,,Km2,,,,,2021,12,3,2021,12,8,,,,,,,,,,75000,81002,92.59019293,2,,29224;29225;29226;29228,"Hawaii, Honolulu, Kalawao, Maui (Adm2)."
2021-0017-TWN,2021,0017,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Taipei, New Taipei, Taoyuan Town, Keelung Town, Yunlin County (western Taiwan Island)",,Cold wave,,,,,,,Kph,,,,,2021,1,8,2021,1,12,18,,,,,,,,,,,92.59019293,1,925,,Taiwan Sheng (Adm1).
2021-0096-USA,2021,0096,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"North Carolina, Oklahoma, Arkansas, Missouri, Illinois, Kentucky, Tennessee, Louisiana, Mississippi, Colorado, Oregon, Washington, Nebraska, Texas",Polar Vortex,Cold wave,,,,,,,Kph,,,,,2021,2,10,2021,2,20,235,10,,,10,,,15000000,16200420,30000000,32400840,92.59019293,1,3217;3219;3227;3231;3232;3238;3239;3241;3247;3250;3251;3256;3257;3261,,"Arkansas, Colorado, Illinois, Kentucky, Louisiana, Mississippi, Missouri, Nebraska, North Carolina, Oklahoma, Oregon, Tennessee, Texas, Washington (Adm1)."
2021-0454-TUR,2021,0454,,Natural,Climatological,Wildfire,Forest fire,,,Turkey,TUR,Western Asia,Asia,"Antalya Mugla, Mersin, Adana, Osmaniye provinces",,Heat wave,,,,,,,Km2,,,,,2021,7,28,2021,8,7,9,122,560966,,561088,,,,,232000,250566,92.59019293,1,3017;3024;3053;3074;3079,,"Adana, Antalya, Icel, Mugla, Osmaniye (Adm1)."
2021-0502-RUS,2021,0502,,Natural,Climatological,Wildfire,Forest fire,,,Russian Federation (the),RUS,Eastern Europe,Europe,Yakutia and Karelia,,Drought,,,,,,,Km2,,,,,2021,7,,2021,8,26,,,120,,120,,,,,,,92.59019293,1,2514;2551,,"Karelya Rep., Sakha Rep. (Adm1)."
2021-0283-TZA,2021,0283,TC-2021-000036,Natural,Meteorological,Storm,,,Tropical storm 'Jobo',"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Kilimanjaro, Kagera, Shinyanga, Mbeya, Dar es Salaam,Pwani, Lindi ,and Mtwara, Manyara, Zanzibar Isl, Morogoro",,Flood,,,,,,,Kph,,,,,2021,4,24,2021,4,26,,,30001,,30001,,,,,,,92.59019293,1,48358;48363;48364;48365;48367;48368;48369;48372;48373;48379;48382;115004;115009,,"Dar-es-salaam, Kagera, Kaskazini Unguja, Kilimanjaro, Kusini Unguja, Lindi, Manyara, Mbeya, Mjini Magharibi, Morogoro, Mtwara, Pwani, Shinyanga (Adm1)."
2021-0320-UKR,2021,0320,,Natural,Meteorological,Storm,Extra-tropical storm,,,Ukraine,UKR,Eastern Europe,Europe,"Yalta City, Kerch City, Lenins’kyi District (Crimean Peninsula)",,Flood,,,,,,,Kph,,,,,2021,6,17,2021,6,18,1,,1700,,1700,,,,,170000,183605,92.59019293,1,3158,,Krym (Adm1).
2021-0178-USA,2021,0178,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Calhoun, Bibb, Jefferson, Shelby and Calhoun Counties (Alabama); Mississippi; Coweta and Fayette Counties (Georgia); Tennessee; Kentucky",,Flood,,,,Yes,,,Kph,,,,,2021,3,24,2021,3,26,6,,,,,,,,,1700000,1836048,92.59019293,1;2,3231;3238;3256,28694;28698;28719;28727;28748;29102,"Kentucky, Mississippi, Tennessee (Adm1). Bibb, Calhoun, Coweta, Fayette, Jefferson, Shelby (Adm2)."
2021-0273-USA,2021,0273,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,East Baton Rouge Parish (eastern Louisiana); Lake Charles City (south-western Louisiana),,Flood,,,,,,,Kph,,,,,2021,5,14,2021,5,19,6,,250,,250,,,,,1300000,1404036,92.59019293,2,,29800;29807,"Calcasieu, East Baton Rouge (Adm2)."
2021-0373-USA,2021,0373,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Elsa',United States of America (the),USA,Northern America,Americas,"California, Georgia, Florida, North Carolina, South Carolina",,Flood,,,,Yes,,100,Kph,,,,,2021,7,2,2021,7,9,1,9,,,9,,,,,1200000,1296034,92.59019293,1,3218;3223;3224;3247;3254,,"California, Florida, Georgia, North Carolina, South Carolina (Adm1)."
2021-0531-USA,2021,0531,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression 'Henri',United States of America (the),USA,Northern America,Americas,"Rhode Isl., Connecticut, Vermont, New York, New Jersey states",,Flood,,,,Yes,,120,Kph,,,,,2021,8,20,2021,8,25,,,86,,86,,,,,550000,594015,92.59019293,1,3220;3244;3246;3253;3259,,"Connecticut, New Jersey, New York, Rhode Island, Vermont (Adm1)."
2021-0532-USA,2021,0532,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Fred',United States of America (the),USA,Northern America,Americas,"Transylvania, Haywood, Swain counties (North Carolina); Florida","Heavy rains, remnants of tropical storm Fred",Flood,,,,Yes,,,Kph,,,,Pigeon river,2021,8,17,2021,8,22,7,,105,,105,,,,,1300000,1404036,92.59019293,1;2,3223,30610;30653;30654,"Florida (Adm1). Haywood, Swain, Transylvania (Adm2)."
2021-0551-USA,2021,0551,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ida',United States of America (the),USA,Northern America,Americas,"Louisiana, New York, New Jersey, Maryland, Connecticut, Virginia, Pennsylvania, Delaware",,Flood,,,,Yes,,240,Kph,,,,,2021,8,28,2021,9,2,96,,14000,,14000,,,36000000,38881008,65000000,70201819,92.59019293,1,3220;3221;3232;3234;3244;3246;3252;3260,,"Connecticut, Delaware, Louisiana, Maryland, New Jersey, New York, Pennsylvania, Virginia (Adm1)."
2021-0583-USA,2021,0583,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Nicholas',United States of America (the),USA,Northern America,Americas,"Texas, Louisiana",,Flood,,,,,,,Kph,,,,,2021,9,12,2021,9,17,,,,,,,,,,1000000,1080028,92.59019293,1,3232;3257,,"Louisiana, Texas (Adm1)."
2021-0327-VNM,2021,0327,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Koguma',Viet Nam,VNM,South-Eastern Asia,Asia,"Thai Binh, Ha Nam, Nam Dinh provinces",,Flood,,,,,,90,Kph,,,,,2021,6,12,2021,6,13,1,,750,,750,,,,,10000,10800,92.59019293,1,3346;3364;3380,,"Ha Nam, Nam Dinh, Thai Binh (Adm1)."
2021-0811-ZAF,2021,0811,OT-2021-00210,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,South Africa,ZAF,Southern Africa,Africa,"Mthatha town, OR Tambo, Buffalo City, Amathole, Alfred Nzou, Chris Hani, Joe Gqabi (Eastern Cape Province); Kwazulu-Natal",,Flood,,,,,,,Kph,,,,,2021,12,12,2021,12,30,23,27,8810,,8837,,,,,,,92.59019293,1;2,77311,77316;77320;77321;77322;77323;77353,"KwaZulu-Natal (Adm1). Alfred Nzo District Municipality, Amathole District Municipality, Buffalo City Metropolitan Municipality, Chris Hani District Municipality, Joe Gqabi District Municipality, O.R.Tambo District Municipality (Adm2)."
2021-0036-ZAF,2021,0036,TC-2021-000011,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Eloise',South Africa,ZAF,Southern Africa,Africa,"Umkhanyakude, Zululand (Kwa Zulu Natal province) , Ehlanzeni, Mbombela, Bushbuckridge, Nkomazi, Thaba Chweu, Gert Sibande, Chief Albert Luthuli (Mpumalanga province); Capricorn, Lepelle-Nkump, Molemole, Mopane, Vhembe (Limpopo province)",,Flood,,,,,,,Kph,,,,,2021,1,24,2021,1,24,4,,3200,,3200,,,,,,,92.59019293,2,,77334;77335;77339;77341;77343;77344,"Capricorn District Municipality, Ehlanzeni District Municipality, Gert Sibande District Municipality, Umkhanyakude District Municipality, Vhembe District Municipality, Zululand District Municipality (Adm2)."
2021-0036-ZWE,2021,0036,TC-2021-000011,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Eloise',Zimbabwe,ZWE,Eastern Africa,Africa,"Chivi, Masvingo Rural districts (Masvingo province); Beitbridge district i(Matebeleland South province); Chipinge (Manicaland province)",,Flood,,,,,,160,Kph,,,,,2021,1,23,2021,1,23,3,,2400,,2400,,,,,,,92.59019293,2,,33055;33083;33085;33095,"Beitbridge, Chipinge, Chivi, Masvingo (Adm2)."
2021-9548-SYR,2021,9548,DR-2021-000119/000159,Natural,Climatological,Drought,Drought,,,Syrian Arab Republic,SYR,Western Asia,Asia,"Hasakah, Aleppo, Raqqa, Deir-ez-Zor, Homs","Poor precipitation, abnormally high air temperatures",Food shortage,,,,,,,Km2,,,,,2021,1,,2022,7,,,,5500000,,5500000,,,,,,,92.59019293,1,2834;2839;2841;2842;2845,,"Aleppo, Dayr_Az_Zor, Hassakeh, Homs, Raqqa (Adm1)."
2021-9148-ZAF,2021,9148,,Natural,Climatological,Drought,Drought,,,South Africa,ZAF,Southern Africa,Africa,,,Food shortage,,,,,,,Km2,,,,,2021,3,,2021,3,,,,12000000,,12000000,,,,,,,92.59019293,,,,
2021-9787-ZMB,2021,9787,DR-2021-000170,Natural,Climatological,Drought,Drought,,,Zambia,ZMB,Eastern Africa,Africa,"Southern, Western, Central, Copper Belt, Eastern, Luapula, Lusaka, Muchinga, North western and Northern provinces",,Food shortage,,,,,,,Km2,,,,,2021,7,,2022,9,,,,1580000,,1580000,,,,,,,92.59019293,1,3426;3427;3428;3429;3430;3431;3432;3433;3434,,"Central, Copperbelt, Eastern, Luapula, Lusaka, North-Western, Northern, Southern, Western (Adm1)."
2021-9786-ZWE,2021,9786,DR-2021-000168,Natural,Climatological,Drought,Drought,,,Zimbabwe,ZWE,Eastern Africa,Africa,"Matabeleland South, Manicaland, Masvingo,","Covid 19 pandemic, crop pests, food insecurity, and livestock diseases",Food shortage,,,,,,,Km2,,,,,2021,8,,2022,2,,,,167500,,167500,,,,,,,92.59019293,1,3437;3441;3443,,"Manicaland, Masvingo, Matabeleland South (Adm1)."
2021-9639-SSD,2021,9639,DR-2021-000065,Natural,Climatological,Drought,Drought,,,South Sudan,SSD,Northern Africa,Africa,"Aweil South (Northern Bahr el Gazzal State), Aweil East (Northern Bahr el Gazzal State), Gogrial West (Warrap State); Tonj South (Warrap State):",,Food shortage,,,,,,,Km2,,,,,2021,,,2022,11,,,,7723670,,7723670,,,,,,,92.59019293,2,,37077;37127;37129,"Aweil, Gogrial, Tonj (Adm2)."
2021-0682-PHL,2021,0682,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Governor Generoso and San Isidro Municipalities (Davao Oriental Province),,Surge,,,,,,,Km2,,,,,2021,10,10,2021,10,10,,,24166,,24166,,,,,,,92.59019293,2,,24269,Davao Oriental (Adm2).
2021-0211-USA,2021,0211,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,Southern Louisiana and the Gulf Coast,,Transport accident,,,,,,,Kph,,,,,2021,4,13,2021,4,15,13,,,,,,,,,215000,232206,92.59019293,1,3214;3223;3232;3238;3257,,"Alabama, Florida, Louisiana, Mississippi, Texas (Adm1)."
2021-0171-THA,2021,0171,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Thailand,THA,South-Eastern Asia,Asia,Northern and eastern provinces,,Lightening,,,,,,,Kph,,,,,2021,3,22,2021,3,23,2,,,900,900,,,,,,,92.59019293,,,,
2021-0700-TUN,2021,0700,,Natural,Hydrological,Flood,,,,Tunisia,TUN,Northern Africa,Africa,"Kasserine, Manouba, Béja and Bizerte Governorates, Tunis City area",Heavy rains,Lightening,,,,,,,Km2,,,,,2021,10,23,2021,10,26,3,,,,,,,,,,,92.59019293,1,2995;2996;3001;3005;3015,,"Beja, Bizerte, Kasserine, Manouba, Tunis (Adm1)."
2021-0566-USA,2021,0566,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,El Paso (Texas); Gila Bend (Arizona),,Lightening,,,,Yes,,,Km2,,,,,2021,8,10,2021,8,16,3,,,,,,,,,225000,243006,92.59019293,2,,28778;31269,"El Paso, Gila (Adm2)."
2021-0022-PHL,2021,0022,,Natural,Hydrological,Flood,Flash flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Negros Occidental and Northern Samar Provinces (Visayas); Luzon,Heavy rains,,,,,,,,Km2,,,,,2021,1,8,2021,1,24,2,,38160,,38160,,,,,25000,27001,92.59019293,1;2,67165,24251;24259,"Region III (Central Luzon) (Adm1). Negros Occidental, Northern Samar (Adm2)."
2021-0091-PHL,2021,0091,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Dujuan' (Auring),Philippines (the),PHL,South-Eastern Asia,Asia,Caraga Region (northern Mindanao) and Eastern Visayas Region,,,,,,,,,Kph,,,,,2021,2,21,2021,2,22,5,2,272451,,272453,,,,,3114,3363,92.59019293,1,2364;2368,,"Region VIII (Eastern Visayas), Region XIII (Caraga) (Adm1)."
2021-0236-PHL,2021,0236,TC-2021-000040,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Surigae',Philippines (the),PHL,South-Eastern Asia,Asia,"Cagayan Valley, Bicol, Eastern Visayas and Caraga Regions",,,,,,,,,Kph,,,,,2021,4,22,2021,4,22,9,,15000,,15000,,,,,20000,21601,92.59019293,1,2357;2361;2364;2368,,"Region II (Cagayan Valley), Region V (Bicol region), Region VIII (Eastern Visayas), Region XIII (Caraga) (Adm1)."
2021-0813-PHL,2021,0813,TC-2021-000202,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Rai' (Odette),Philippines (the),PHL,South-Eastern Asia,Asia,"Eastern Visayas, Northern Mindanao, Davao, Caraga, Surigao del Norte, Dinagat Islands, Southern Leyte, Bohol, Cebu, Negros Oriental, Palawan, Iliolo",,,,,,,,240,Kph,,,,,2021,12,16,2021,12,17,457,1371,10607625,,10608996,,,,,915271,988518,92.59019293,1;2,2364;2368;67160;67161,24233;24250;24252;24253;24254,"Region VIII (Eastern Visayas), Region X (Northern Mindanao), Region XI (Davao Region), Region XIII (Caraga) (Adm1). Bohol, Cebu, Iloilo, Negros Oriental, Palawan (Adm2)."
2021-0371-PHL,2021,0371,,Technological,Technological,Transport accident,Air,,Military plane 'Hercules C-130',Philippines (the),PHL,South-Eastern Asia,Asia,Jolo (Sulu province),,,,,,,,,,,,,,2021,7,4,2021,7,4,50,53,,,53,,,,,,,92.59019293,,,,
2021-0226-PHL,2021,0226,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Davao City (Bunawan and Buhangin-B districts, southern Mindanao)",Heavy rains,,,,,,,,Km2,,,,,2021,4,26,2021,4,27,,,3280,,3280,,,,,,,92.59019293,1,67161,,Region XI (Davao Region) (Adm1).
2021-0376-PHL,2021,0376,VO-2021-000071,Natural,Geophysical,Volcanic activity,,,Taal volcano,Philippines (the),PHL,South-Eastern Asia,Asia,Agoncillo and Laurel municipaliies (Batangas in Luzon),,,,,,,,,,,,,,2021,7,1,2021,7,23,,,22433,,22433,,,,,,,92.59019293,2,,24227,Batangas (Adm2).
2021-0687-POL,2021,0687,,Natural,Meteorological,Storm,Convective storm,,Storm 'Aurore' (Hendrick),Poland,POL,Eastern Europe,Europe,"Dolno?l?skie, Wielkopolskie, Kujawsko-Pomorskie",Heavy rains and strong winds,,,,,,,,Kph,,,,,2021,10,21,2021,10,22,4,13,,,13,,,,,,,92.59019293,1,2370;2371;2384,,"Dolnoslaskie, Kujawsko-Pomorskie, Wielkopolskie (Adm1)."
2021-0474-PRK,2021,0474,,Natural,Hydrological,Flood,,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,South Hamgyong province,,,,,,,,,Km2,,,,,2021,8,7,2021,8,9,,,5000,,5000,,,,,,,92.59019293,1,1062,,Hamgyong-namdo (Adm1).
2021-0001-PRY,2021,0001,,Natural,Hydrological,Flood,,,,Paraguay,PRY,South America,Americas,Conception City,Heavy rains,,,,,,,,Km2,,,,,2021,1,16,2021,1,20,,,4000,,4000,,,,,,,92.59019293,2,,23869,Concepcion (Adm2).
2021-0349-ROU,2021,0349,,Natural,Hydrological,Flood,,,,Romania,ROU,Eastern Europe,Europe,"Bacau, Botosani, Braila, Buzau, Calarasi, Dimbovita, Galati, Giurgiu, Ilfov (Bucuresti), Ialomita, Hunedoara, Neamt, Sibiu, Teleorman, Vrancea and Bucharest",Heavy rains,,,,,,,,Km2,,,,,2021,6,16,2021,6,28,1,,100,,100,,,,,,,92.59019293,1,2449;2452;2453;2455;2456;2457;2462;2464;2465;2468;2469;2474;2479;2481;2486,,"Bacau, Botosani, Braila, Bucuresti, Buzau, Calarasi, Dimbovita, Galati, Giurgiu, Hunedoara, Ialomita, Neamt, Sibiu, Teleorman, Vrancea (Adm1)."
2021-0665-RUS,2021,0665,,Technological,Technological,Transport accident,Air,,L-410,Russian Federation (the),RUS,Eastern Europe,Europe,Tatarstan,,,,,,,,,,,,,,2021,10,10,2021,10,10,16,,,,,,,,,,,92.59019293,,,,
2021-0294-RUS,2021,0294,,Technological,Technological,Industrial accident,Gas leak,,Wastewater treatment plant,Russian Federation (the),RUS,Eastern Europe,Europe,"Dmitriadovka, nearTaganrog",,,,,,,,,m3,,,,,2021,5,21,2021,5,21,10,8,,,8,,,,,,,92.59019293,,,,
2021-0688-RUS,2021,0688,,Technological,Technological,Industrial accident,Fire,,Explosives factory 'Elastik',Russian Federation (the),RUS,Eastern Europe,Europe,Riazan,,,,,,,,,m3,,,,,2021,10,22,2021,10,22,16,,,,,,,,,,,92.59019293,,,,
2021-0760-RUS,2021,0760,,Technological,Technological,Industrial accident,Other,,Coal mine,Russian Federation (the),RUS,Eastern Europe,Europe,"Listviajnaïa (Gramoteïno, Kemerovo region)",,,,,,,,,m3,,,,,2021,11,25,2021,11,25,57,,237,,237,,,,,,,92.59019293,,,,
2021-0542-RUS,2021,0542,,Natural,Hydrological,Landslide,Mudslide,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Gunibsky, Gergebilsky, Levashinsky, Laksky, Kurakhsky Districts (Dagestan)",Heavy rains,,,,,,,,,,,,,2021,8,22,2021,8,23,6,,3000,3,3003,,,,,,,92.59019293,1,2503,,Dagestan Rep. (Adm1).
2021-0483-RUS,2021,0483,,Natural,Hydrological,Flood,,,,Russian Federation (the),RUS,Eastern Europe,Europe,Transbaikal and Khabarovsk Territories ( Amur Region); Jewish Autonomous Region,Heavy rains,,,,,,,,Km2,,,,,2021,6,24,2021,8,11,,,24000,,24000,,,,,200000,216006,92.59019293,1,2491;2577,,"Amurskaya Oblast, Yevreyskaya A. Oblast (Adm1)."
2021-0571-RUS,2021,0571,,Natural,Hydrological,Flood,,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Anapa, Slavyansky, Temryuk districts (Krasnodar Region)",Heavy rains,,,,,,,,Km2,,,,,2021,8,12,2021,8,14,,,4500,,4500,,,,,,,92.59019293,1,2524,,Krasnodarskiy Kray (Adm1).
2021-0362-SDN,2021,0362,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Sudan (the),SDN,Northern Africa,Africa,Um Rakuba and Tunaydbah (East Soudan),,,,,,,,,Kph,,,,,2021,6,,2021,6,,,,16000,,16000,,,,,,,92.59019293,2,,37049;37050,"Al Galabat, Al Rahd (Adm2)."
2021-0473-SDN,2021,0473,,Natural,Hydrological,Flood,,,,Sudan (the),SDN,Northern Africa,Africa,"Gedaref, North Kordofan, River Nile, South Darfur, South Kordofan, West Darfur, Sennar, Blue Nile, White Nile, Aj Jazirah, Khartoum, West Kordofan",Torrential rains,,,,,,,,Km2,,,,Blue Nile River,2021,7,20,2021,9,24,52,45,303000,,303045,,,,,,,92.59019293,1,2745;2749;2753;2761;2762;2764;2769;2770;4150;68784;68805,,"Al Jazeera, Blue Nile, Gadaref, Khartoum, Nile, Northern Kordofan, Sennar, Southern Darfur, Southern Kordofan, Western Darfur, White Nile (Adm1)."
2021-0727-SLE,2021,0727,FR-2021-000169,Technological,Technological,Transport accident,Road,,Oil tanker,Sierra Leone,SLE,Western Africa,Africa,"Wellington Area, Freetown",,,,,,,,,,,,,,2021,11,5,2021,11,5,101,123,1120,,1243,,,,,,,92.59019293,,,,
2021-0209-SLE,2021,0209,FR-2021-000029,Technological,Technological,Miscellaneous accident,Fire,,,Sierra Leone,SLE,Western Africa,Africa,Susan's Bay,,,,,,,,,,,,,,2021,3,24,2021,3,24,,409,,7093,7502,,,,,,,92.59019293,,,,
2021-0239-SOM,2021,0239,,Natural,Hydrological,Flood,,,,Somalia,SOM,Eastern Africa,Africa,"Hirshabelle, Somaliland, Puntland, South West, Galmudung, Jubaland, Banadir Region, including Mogadishu",Heavy rains,,,,,,,,Km2,,,,Shabelle and the Juba Rivers,2021,5,1,2021,5,31,25,,400000,,400000,,,,,,,92.59019293,1,2688;2689;2690;2691;2692;2693;2694;2695;2696;2697;2698;2699;2700;2701;2702;2703;2704;2705,,"Awdal, Bakool, Banadir, Bari, Bay, Galgaduud, Gedo, Hiraan, Juba Dhexe, Juba Hoose, Mudug, Nugaal, Sanaag, Shabelle Dhexe, Shabelle Hoose, Sool, Togdheer, Woqooyi Galbeed (Adm1)."
2021-0613-SPI,2021,0613,,Natural,Geophysical,Volcanic activity,Lava flow,,Cumbre Vieja volcano,Canary Is,SPI,Southern Europe,Europe,La Palma Island,,,,,,Yes,,,,,,,,2021,9,19,2021,12,25,1,,339,6549,6888,,,,,1000000,1080028,92.59019293,2,,25789,Las Palmas (Adm2).
2021-0398-SUR,2021,0398,,Natural,Hydrological,Flood,,,,Suriname,SUR,South America,Americas,"Paramaribo, Nickerie, Coronie, Saramacca, Wanica, Para, Marowijne, Sipaliwini, Brokopondo, Commewijne districts",Heavy rains,,,,,,,,Km2,,,,,2021,4,,2021,5,,,,10100,,10100,,,,,,,92.59019293,1,2771;2772;2773;2774;2775;2776;2777;2778;2779;2780,,"Brokopondo, Commewijne, Coronie, Marowijne, Nickerie, Para, Paramaribo, Saramacca, Sipaliwini, Wanica (Adm1)."
2021-0649-SVN,2021,0649,,Natural,Hydrological,Flood,,,,Slovenia,SVN,Southern Europe,Europe,Ljubljana,Heavy rains,,,,,,,,Km2,,,,,2021,9,29,2021,9,30,,,1500,,1500,,,,,,,92.59019293,2,,25577,Ljubljana (Adm2).
2021-0572-SWE,2021,0572,,Natural,Hydrological,Flood,Flash flood,,,Sweden,SWE,Northern Europe,Europe,"Gävleborg, Dalarna counties",Heavy rains,,,,,,,,Km2,,,,,2021,8,17,2021,8,18,,,13500,,13500,,,,,70000,75602,92.59019293,1,2787;2788,,"Dalarnas Laen, Gaevleborgs Laen (Adm1)."
2021-0036-SWZ,2021,0036,TC-2021-000011,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Eloise',Eswatini,SWZ,Southern Africa,Africa,,,,,,,,,,Kph,,,,,2021,1,23,2021,1,23,,,,,,,,,,,,92.59019293,,,,
2021-0039-SYR,2021,0039,,Natural,Hydrological,Flood,,,,Syrian Arab Republic,SYR,Western Asia,Asia,Idlib and Aleppo refugee camps (north-western Syria),Heavy rain,,,,,,,,Km2,,,,,2021,1,14,2021,1,27,1,3,142000,,142003,,,,,,,92.59019293,1,2834;2843,,"Aleppo, Idleb (Adm1)."
2021-0382-TCD,2021,0382,,Natural,Hydrological,Flood,,,,Chad,TCD,Middle Africa,Africa,"Bologo and Dafra districts; Tandjilé, Mandoul, Ennedi-Ouest, Batha, and the capital city of N’Djamena",Heavy rains,,,,,,,,Km2,,,,,2021,6,26,2021,8,31,32,329,246851,22000,269180,,,,,,,92.59019293,1;2,12904;12905;12908;12925;12931,65629,"Batha Est, Batha Ouest, Ennedi, Mandoul, Tandjile Ouest (Adm1). Ndjamena (Adm2)."
2021-0383-THA,2021,0383,,Technological,Technological,Industrial accident,Fire,,'Ming Dih' Chemical factory,Thailand,THA,South-Eastern Asia,Asia,Samut Pakan province,,,,,,,,,m3,,,,,2021,7,5,2021,7,5,1,60,231,,291,,,,,,,92.59019293,,,,
2021-0021-THA,2021,0021,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Songkhla, Yala, Narathiwat, Pattani provinces",Heavy rains,,,,,,,,Km2,,,,,2021,1,5,2021,1,11,4,2,175491,,175493,,,,,,,92.59019293,1,2882;2887;2913;2925,,"Narathiwat, Pattani, Songkhla, Yala (Adm1)."
2021-0609-THA,2021,0609,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Tak, Kamphaeng Phet, Nakhon Ratchasima, Prachinburi, Chon Buri, Rayong, Chanthaburi, Sa Kaeo, Singburi and Samut Prakan",Heavy rain,,,,,,,,Km2,,,,,2021,8,27,2021,8,31,,,325400,,325400,,,,,,,92.59019293,1;2,2858;2861;2864;2878;2902;2904;2906;2912;2918,26827,"Chanthaburi, Chonburi, Kampaeng Phet, Nakhon Ratchasima, Rayong, Sa Kaeo, Samut Prakarn, Singburi, Tak (Adm1). Muang Prachin Buri (Adm2)."
2021-0779-THA,2021,0779,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Phetchaburi, Prachuap Khiri Khan, Chumphon, Surat Thani, Nakhon Si Thammarat, Krabi, Phatthalung, Songkhla and Trang",Heavy rains,,,,,,,,Km2,,,,,2021,11,29,2021,12,2,,,132900,,132900,,,,,,,92.59019293,1,2862;2867;2875;2880;2890;2893;2899;2913;2916;2920,,"Chumphon, Krabi, Nakhon Nayok, Nakhon Si Thammarat, Phatthalung, Phetchaburi, Prachuap Khilikhan, Songkhla, Surat Thani, Trang (Adm1)."
2021-0403-TJK,2021,0403,,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,Tadjikobod district (Douchanbé region),,,,,,,,6,Richter,,,07:14,,2021,7,10,2021,7,10,5,,100,,100,,,,,,,92.59019293,2,,37628,Tojikobod (Adm2).
2021-0432-TJK,2021,0432,,Natural,Hydrological,Landslide,Mudslide,,,Tajikistan,TJK,Central Asia,Asia,"Panjakent, Ayni, Mastchoh and Devashtich districts; Sughd region",Heavy rains,,,,,,,,,,,,,2021,7,19,2021,7,20,12,,,,,,,,,,,92.59019293,2,,37603;37605;37609;37612,"Aini, Ganchinskiy, Kuhistoni Mastchohskiy, Penjikenskiy (Adm2)."
